industry,UnitId,mos,stratum,Sales
XXX2,174,110675,2,79250
XXX2,175,66180,2,71065
XXX2,176,126290,2,79992
XXX2,177,113443,2,92902
XXX2,178,68874,2,85617
XXX2,179,101690,2,36605
XXX2,180,78707,2,58377
XXX2,181,65184,2,50090
XXX2,182,71978,2,63165
XXX2,183,68071,2,65862
XXX2,184,117484,2,131141
XXX2,185,141172,2,106178
XXX2,186,76222,2,79512
XXX2,187,152591,2,138828
XXX2,188,70303,2,86692
XXX2,189,124393,2,123211
XXX2,190,105970,2,120426
XXX2,191,97158,2,110924
XXX2,192,98780,2,103182
XXX2,193,112772,2,146793
XXX2,194,95453,2,98756
XXX2,195,96366,2,87920
XXX2,196,104737,2,102697
XXX2,197,120689,2,127502
XXX2,198,100369,2,72779
XXX2,199,85778,2,72323
XXX2,200,96589,2,83430
XXX2,201,95095,2,87455
XXX2,202,101659,2,103315
XXX2,203,88677,2,83418
XXX2,204,88668,2,85635
XXX2,205,136542,2,162830
XXX2,206,88558,2,85344
XXX2,207,87873,2,72035
XXX2,208,93139,2,68054
XXX2,209,91909,2,125854
XXX2,210,91141,2,70142
XXX2,211,84319,2,79188
XXX2,212,112173,2,132196
XXX2,213,121228,2,134463
XXX2,214,79209,2,68085
XXX2,215,68089,2,66388
XXX2,216,123332,2,71487
XXX2,217,66302,2,68511
XXX2,218,121950,2,201471
XXX2,219,142990,2,179999
XXX2,220,86605,2,95345
XXX2,221,90808,2,114397
XXX2,222,123756,2,92555
XXX2,223,85601,2,95015
XXX2,224,72822,2,52134
XXX2,225,67134,2,57776
XXX2,226,78178,2,89031
XXX2,227,74183,2,57057
XXX2,228,86734,2,85342
XXX2,229,100658,2,101212
XXX2,230,152292,2,166776
XXX2,231,80354,2,84164
XXX2,232,68998,2,57010
XXX2,233,72445,2,51612
XXX2,234,70538,2,75284
XXX2,235,81549,2,88578
XXX2,236,74393,2,100924
XXX2,237,68452,2,69305
XXX2,238,85487,2,70605
XXX2,239,93234,2,104174
XXX2,240,146276,2,141457
XXX2,241,156944,2,143651
XXX2,242,281746,3,269317
XXX2,243,278540,3,259137
XXX2,244,345752,3,376050
XXX2,245,316654,3,283454
XXX2,246,283851,3,362748
XXX2,247,183751,3,160685
XXX2,248,211520,3,187432
XXX2,249,297694,3,270744
XXX2,250,250669,3,270092
XXX2,251,303422,3,322022
XXX2,252,172455,3,157286
XXX2,253,191614,3,168177
XXX2,254,199332,3,283312
XXX2,255,342882,3,374946
XXX2,256,258952,3,296673
XXX2,257,307163,3,255176
XXX2,258,268771,3,289649
XXX2,259,298866,3,294796
XXX2,260,272517,3,408659
XXX2,261,303962,3,369277
XXX2,262,295587,3,308736
XXX2,263,226174,3,249727
XXX2,264,341955,3,344779
XXX2,265,316251,3,320771
XXX2,266,324146,3,321856
XXX2,267,300815,3,215150
XXX2,268,236336,3,178037
XXX2,269,303150,3,240948
XXX2,270,239605,3,239642
XXX2,271,258264,3,293383
XXX2,272,197290,3,140763
XXX2,273,267169,3,279297
XXX2,274,261349,3,283614
XXX2,275,300247,3,419690
XXX2,276,277978,3,274061
XXX2,277,172495,3,173356
XXX2,278,168951,3,122014
XXX2,279,189762,3,213406
XXX2,280,174281,3,196868
XXX2,281,176052,3,165109
XXX2,282,173449,3,133244
XXX2,283,166738,3,194415
XXX2,284,347264,3,365774
XXX2,285,322453,3,315597
XXX2,286,287797,3,254156
XXX2,287,250688,3,277082
XXX2,288,218417,3,168670
XXX2,289,190457,3,202392
XXX2,290,190256,3,185914
XXX2,291,226823,3,181846
XXX2,292,225635,3,139395
XXX2,293,201447,3,227246
XXX2,294,327083,3,309715
XXX2,295,296918,3,289999
XXX2,296,180268,3,149764
XXX2,297,166493,3,166658
XXX2,298,234555,3,237365
XXX2,299,215969,3,211289
XXX2,300,225127,3,308112
XXX2,301,187833,3,173291
XXX2,302,170208,3,192359
XXX2,303,209578,3,165254
XXX2,304,177141,3,161063
XXX2,305,425667,4,429738
XXX2,306,381615,4,361827
XXX2,307,409500,4,390170
XXX2,308,459747,4,469988
XXX2,309,621144,4,570377
XXX2,310,547455,4,574246
XXX2,311,419869,4,432985
XXX2,312,590236,4,519043
XXX2,313,384692,4,393190
XXX2,314,452991,4,474697
XXX2,315,397103,4,422234
XXX2,316,424617,4,432545
XXX2,317,441110,4,377774
XXX2,318,371837,4,357414
XXX2,319,492971,4,443585
XXX2,320,591500,4,617717
XXX2,321,478579,4,448778
XXX2,322,525466,4,539370
XXX2,323,413807,4,355118
XXX2,324,434439,4,402032
XXX2,325,377228,4,326715
XXX2,326,402323,4,374122
XXX2,327,438976,4,485327
XXX2,328,479912,4,580064
XXX2,329,451054,4,323424
XXX2,330,598191,4,444698
XXX2,331,361239,4,344948
XXX2,332,358912,4,210279
XXX2,333,506270,4,586659
XXX2,334,484262,4,450489
XXX2,335,368832,4,403727
XXX2,336,468165,4,528629
XXX2,337,395920,4,401754
XXX2,338,561451,4,471965
XXX2,339,414461,4,445673
XXX2,340,467373,4,329494
XXX2,341,505550,4,392928
XXX2,342,385746,4,429097
XXX2,343,774551,5,753159
XXX2,344,730169,5,743414
XXX2,345,779425,5,841586
XXX2,346,770184,5,814499
XXX2,347,809659,5,817088
XXX2,348,958357,5,980732
XXX2,349,767578,5,737019
XXX2,350,899452,5,890985
XXX2,351,777722,5,854711
XXX2,352,759668,5,788870
XXX2,353,739599,5,692934
XXX2,354,1009058,5,893825
XXX2,355,689655,5,708087
XXX2,356,841618,5,886327
XXX2,357,734820,5,734246
XXX2,358,759196,5,750892
XXX2,359,826831,5,840493
XXX2,360,712141,5,712646
XXX2,361,723130,5,736335
XXX2,362,937070,5,834304
XXX2,363,632217,5,671566
XXX2,364,844092,5,737419
XXX2,365,1041617,5,1043525
XXX2,366,929355,5,904851
XXX2,367,726707,5,651317
XXX2,368,689099,5,661133
XXX2,369,833606,5,631101
XXX2,370,789932,5,769914
XXX2,371,771717,5,611380
XXX2,372,676290,5,675395
XXX2,373,737105,5,933350
